City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Hambantota,LK,2020-06-18 16:45:34,6.12,81.12,84.2,83,20,10.29
176,Lompoc,US,2020-06-18 16:45:35,34.64,-120.46,60.8,82,0,5.41
177,Khandyga,RU,2020-06-18 16:45:35,62.67,135.6,54.5,90,65,2.62
178,Faanui,PF,2020-06-18 16:45:35,-16.48,-151.75,79.48,82,57,5.32
179,Alice Springs,AU,2020-06-18 16:40:48,-23.7,133.88,52.0,49,0,5.82
180,Hobart,AU,2020-06-18 16:43:12,-42.88,147.33,41.0,86,100,8.05
181,Shizunai,JP,2020-06-18 16:45:36,42.33,142.37,57.88,85,31,4.7
182,The Valley,AI,2020-06-18 16:45:36,18.22,-63.06,87.8,62,40,17.22
183,Mount Gambier,AU,2020-06-18 16:45:36,-37.83,140.77,48.2,81,100,16.11
184,Chepareria,KE,2020-06-18 16:45:37,1.31,35.2,61.97,80,87,2.39
185,Tomatlan,MX,2020-06-18 16:45:37,19.93,-105.25,93.11,34,8,5.82
186,Sonari,IN,2020-06-18 16:45:37,27.07,95.03,76.24,95,95,3.11
187,Ayagoz,KZ,2020-06-18 16:45:37,47.97,80.44,56.79,57,11,4.21
188,Ixtapa,MX,2020-06-18 16:45:38,20.7,-105.2,84.2,62,5,4.7
189,Bonavista,CA,2020-06-18 16:45:38,48.65,-53.11,66.0,69,97,11.01
190,Adamas,GR,2020-06-18 16:42:04,36.73,24.43,80.6,51,0,4.7
191,Severo-Kurilsk,RU,2020-06-18 16:45:38,50.68,156.12,41.47,87,52,7.54
192,Paragominas,BR,2020-06-18 16:45:38,-2.97,-47.48,88.3,51,10,6.87
193,Callaway,US,2020-06-18 16:45:39,30.15,-85.57,87.8,54,20,2.55
194,Urucui,BR,2020-06-18 16:45:39,-7.23,-44.56,89.55,32,0,11.34
195,Bambous Virieux,MU,2020-06-18 16:45:39,-20.34,57.76,71.6,68,75,10.29
196,Kampong Chhnang,KH,2020-06-18 16:45:39,12.17,104.55,77.59,85,67,3.56
197,Lakes Entrance,AU,2020-06-18 16:45:39,-37.88,147.98,48.2,77,77,5.61
198,Chissamba,AO,2020-06-18 16:45:40,-12.17,17.33,61.25,42,0,3.78
199,Guymon,US,2020-06-18 16:45:40,36.68,-101.48,82.4,39,1,21.92
200,Chingola,ZM,2020-06-18 16:45:40,-12.53,27.88,57.34,61,1,5.41
201,Baiyin,CN,2020-06-18 16:45:40,36.56,104.21,73.4,31,100,4.47
202,Yar-Sale,RU,2020-06-18 16:45:40,66.83,70.83,44.42,59,98,9.89
203,Merauke,ID,2020-06-18 16:45:40,-8.47,140.33,78.26,82,97,17.34
204,Yibin,CN,2020-06-18 16:41:25,28.77,104.62,72.93,75,17,2.17
205,Taoudenni,ML,2020-06-18 16:45:41,22.68,-3.98,114.48,6,21,10.11
206,Banda Aceh,ID,2020-06-18 16:45:41,5.56,95.32,81.41,76,79,6.22
207,Verkh-Usugli,RU,2020-06-18 16:45:41,52.7,115.17,50.23,64,35,2.06
208,Jacareacanga,BR,2020-06-18 16:45:42,-6.22,-57.75,92.01,42,81,4.85
209,Cabo San Lucas,MX,2020-06-18 16:42:37,22.89,-109.91,86.0,35,40,3.36
210,Comodoro Rivadavia,AR,2020-06-18 16:45:42,-45.87,-67.5,50.0,57,100,8.05
211,Makakilo City,US,2020-06-18 16:45:42,21.35,-158.09,75.2,94,90,14.7
212,Pevek,RU,2020-06-18 16:45:43,69.7,170.31,39.45,74,0,10.25
213,Vinukonda,IN,2020-06-18 16:45:43,16.05,79.75,80.1,72,99,17.85
214,Kysyl-Syr,RU,2020-06-18 16:45:43,63.9,122.76,58.1,88,95,5.61
215,Cabedelo,BR,2020-06-18 16:45:43,-6.98,-34.83,84.2,70,75,17.22
216,Anadyr,RU,2020-06-18 16:45:44,64.75,177.48,51.8,76,52,2.24
217,Saint-Pierre,RE,2020-06-18 16:45:44,-21.34,55.48,69.8,73,75,16.11
218,Hamilton,US,2020-06-18 16:45:26,39.18,-84.53,78.01,68,90,2.62
219,Sao Filipe,CV,2020-06-18 16:45:44,14.9,-24.5,82.89,57,0,12.48
220,Bilma,NE,2020-06-18 16:45:44,18.69,12.92,102.58,11,36,4.45
221,Moerai,PF,2020-06-18 16:45:45,-22.43,-151.33,72.39,81,95,25.26
222,San Patricio,MX,2020-06-18 16:45:45,19.22,-104.7,87.8,62,20,5.82
223,Pochutla,MX,2020-06-18 16:45:45,15.74,-96.47,87.8,66,90,9.17
224,Longyearbyen,SJ,2020-06-18 16:43:22,78.22,15.64,42.8,75,75,4.7
225,Lethem,GY,2020-06-18 16:45:45,3.38,-59.8,84.9,70,48,3.11
226,Kingisepp,RU,2020-06-18 16:45:46,59.37,28.61,78.12,66,17,1.43
227,Kabalo,CD,2020-06-18 16:45:46,-6.05,26.92,77.76,42,39,4.81
228,Tasiilaq,GL,2020-06-18 16:45:46,65.61,-37.64,42.8,75,100,41.38
229,La Orilla,MX,2020-06-18 16:45:46,17.98,-102.23,88.3,53,0,6.33
230,Ciudad Bolivar,VE,2020-06-18 16:45:46,8.12,-63.55,88.0,59,90,6.67
231,Maragogi,BR,2020-06-18 16:45:47,-9.01,-35.22,80.33,74,7,12.62
232,Visnes,NO,2020-06-18 16:45:47,59.36,5.22,72.0,82,85,5.82
233,Bojnurd,IR,2020-06-18 16:45:47,37.47,57.33,86.0,13,5,16.11
234,Namibe,AO,2020-06-18 16:45:47,-15.2,12.15,74.41,59,0,7.81
235,Arman,RU,2020-06-18 16:45:47,59.7,150.17,48.36,90,99,1.52
236,Bud,US,2020-06-18 16:45:48,39.45,-86.18,78.01,53,40,5.88
237,Altay,CN,2020-06-18 16:45:48,47.87,88.12,56.66,48,17,4.5
238,Tosham,IN,2020-06-18 16:45:48,28.88,75.92,104.5,9,82,6.98
239,Kampot,KH,2020-06-18 16:45:48,10.62,104.18,84.2,74,20,5.82
240,Port Elizabeth,ZA,2020-06-18 16:45:49,-33.92,25.57,60.8,82,0,6.93
241,Shakawe,BW,2020-06-18 16:45:49,-18.37,21.85,60.24,41,0,5.68
242,Oranjestad,AW,2020-06-18 16:45:49,12.52,-70.03,87.8,62,20,24.16
243,Aki,JP,2020-06-18 16:45:49,33.5,133.9,72.19,92,99,2.91
244,Panguna,PG,2020-06-18 16:45:49,-6.32,155.48,68.14,99,0,1.43
245,Kaabong,UG,2020-06-18 16:45:50,3.48,34.15,65.62,77,79,2.24
246,Cidreira,BR,2020-06-18 16:45:50,-30.18,-50.21,76.12,59,84,11.48
247,College,US,2020-06-18 16:45:50,64.86,-147.8,61.0,59,75,4.7
248,Fairview,US,2020-06-18 16:43:54,40.81,-74.0,77.0,69,75,11.16
249,Asfi,MA,2020-06-18 16:41:21,32.3,-9.24,70.97,71,1,19.91
250,Jaciara,BR,2020-06-18 16:45:50,-15.97,-54.97,86.94,38,32,7.65
251,Sao Jose Da Coroa Grande,BR,2020-06-18 16:45:51,-8.9,-35.15,80.78,72,12,12.77
252,Korla,CN,2020-06-18 16:45:51,41.76,86.15,84.99,46,48,1.01
253,Javanrud,IR,2020-06-18 16:45:51,34.8,46.52,74.44,20,0,8.84
254,Walvis Bay,NA,2020-06-18 16:41:00,-22.96,14.51,91.4,14,0,11.41
255,Bahia Honda,CU,2020-06-18 16:45:52,22.9,-83.16,85.15,72,99,2.77
256,Kainantu,PG,2020-06-18 16:45:52,-6.29,145.87,58.41,94,43,1.7
257,Sompeta,IN,2020-06-18 16:45:52,18.93,84.6,83.28,74,100,11.05
258,Benguela,AO,2020-06-18 16:45:52,-12.58,13.41,74.59,74,16,3.87
259,Varangaon,IN,2020-06-18 16:45:53,21.02,75.9,86.85,65,63,16.55
260,Bahar,IR,2020-06-18 16:45:53,34.91,48.44,76.03,17,0,7.94
261,Upata,VE,2020-06-18 16:45:53,8.01,-62.4,84.99,75,41,4.0
262,Roma,US,2020-06-18 16:45:53,43.21,-75.46,82.4,45,1,2.66
263,Kuala Terengganu,MY,2020-06-18 16:45:54,5.33,103.14,80.6,88,20,3.36
264,Salalah,OM,2020-06-18 16:45:54,17.02,54.09,84.2,89,90,6.93
265,Nizhniy Kuranakh,RU,2020-06-18 16:45:54,58.84,125.49,54.37,82,98,1.61
266,Little Current,CA,2020-06-18 16:45:54,45.98,-81.92,75.0,49,0,4.0
267,Mizque,BO,2020-06-18 16:45:54,-17.94,-65.34,81.54,14,18,1.39
268,Bongandanga,CD,2020-06-18 16:45:55,1.5,21.05,78.84,57,39,1.23
269,Evensk,RU,2020-06-18 16:45:55,61.95,159.23,48.58,86,100,4.29
270,Thunder Bay,CA,2020-06-18 16:41:15,48.4,-89.32,69.8,64,75,10.29
271,Bandarbeyla,SO,2020-06-18 16:45:55,9.49,50.81,81.66,69,57,30.02
272,Kavieng,PG,2020-06-18 16:45:55,-2.57,150.8,82.51,74,1,3.38
273,Najran,SA,2020-06-18 16:45:56,17.49,44.13,98.6,10,40,8.05
274,Ponta Do Sol,PT,2020-06-18 16:45:56,32.67,-17.1,75.2,60,20,11.41
275,Berlevag,NO,2020-06-18 16:45:56,70.86,29.09,46.4,87,20,14.99
276,Hasaki,JP,2020-06-18 16:45:56,35.73,140.83,68.0,100,90,3.36
277,Harpenden,GB,2020-06-18 16:45:56,51.82,-0.36,66.0,72,75,9.17
278,Danilov,RU,2020-06-18 16:45:57,58.19,40.17,73.4,56,0,6.71
279,Atar,MR,2020-06-18 16:45:57,20.52,-13.05,106.95,13,0,16.17
280,High Rock,BS,2020-06-18 16:45:57,26.62,-78.28,84.2,83,75,11.41
281,Bredy,RU,2020-06-18 16:45:57,52.42,60.34,55.69,60,7,8.34
282,Tongchuan,CN,2020-06-18 16:45:57,35.08,109.09,71.91,52,38,2.44
283,Johnstown,US,2020-06-18 16:45:58,40.33,-78.92,72.0,64,40,10.29
284,Laguna,US,2020-06-18 16:45:58,38.42,-121.42,81.0,36,1,4.7
285,Kailua,US,2020-06-18 16:45:58,21.4,-157.74,87.8,58,90,8.05
286,Peace River,CA,2020-06-18 16:45:58,56.25,-117.29,60.8,63,20,10.29
287,Ketchikan,US,2020-06-18 16:45:59,55.34,-131.65,57.2,100,90,26.4
288,Erdenet,MN,2020-06-18 16:45:59,49.03,104.08,55.36,89,100,3.04
289,Roald,NO,2020-06-18 16:45:59,62.58,6.13,71.01,68,18,11.41
290,Aktas,KZ,2020-06-18 16:45:59,49.78,72.96,57.2,93,75,6.71
291,Bitung,ID,2020-06-18 16:46:00,1.45,125.18,77.0,94,40,1.12
292,Koson,UZ,2020-06-18 16:46:00,39.04,65.58,82.4,20,0,9.17
293,Chokurdakh,RU,2020-06-18 16:46:00,70.63,147.92,72.91,44,40,6.53
294,Onega,RU,2020-06-18 16:46:00,63.91,38.14,66.29,52,46,6.73
295,Vao,NC,2020-06-18 16:46:00,-22.67,167.48,71.78,78,94,15.82
296,Nouadhibou,MR,2020-06-18 16:46:01,20.93,-17.03,78.8,61,0,23.04
297,Ribeira Grande,PT,2020-06-18 16:46:00,38.52,-28.7,69.8,64,75,17.22
298,Mount Isa,AU,2020-06-18 16:46:01,-20.73,139.5,59.0,72,0,13.4
299,Nichinan,JP,2020-06-18 16:46:01,31.6,131.37,75.0,100,99,11.01
300,Broome,US,2020-06-18 16:46:01,42.25,-75.83,81.0,60,1,9.17
301,Alofi,NU,2020-06-18 16:46:01,-19.06,-169.92,71.6,83,39,10.29
302,Paita,PE,2020-06-18 16:46:02,-5.09,-81.11,73.4,69,0,23.04
303,Marolambo,MG,2020-06-18 16:46:02,-20.05,48.12,58.87,93,57,2.8
